Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071514900KF,Intel,Core i9-14900KF,1,131,3318,https://cpu.userbenchmark.com/SpeedTest/2212218/IntelR-CoreTM-i9-14900KF
CPU,BX8071514900K,Intel,Core i9-14900K,2,131,5214,https://cpu.userbenchmark.com/Intel-Core-i9-14900K/Rating/4151
CPU,BX8071513900KS,Intel,Core i9-13900KS,3,131,4204,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS
CPU,BX8071514700K,Intel,Core i7-14700K,4,130,5171,https://cpu.userbenchmark.com/Intel-Core-i7-14700K/Rating/4152
CPU,BX8071514700KF,Intel,Core i7-14700KF,5,130,2276,https://cpu.userbenchmark.com/SpeedTest/2212020/IntelR-CoreTM-i7-14700KF
CPU,BX8071513900KF,Intel,Core i9-13900KF,6,129,16914,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF
CPU,BX8071513900K,Intel,Core i9-13900K,7,129,49132,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129
CPU,BX8071513700KF,Intel,Core i7-13700KF,8,126,20009,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF
CPU,BX8071513700K,Intel,Core i7-13700K,9,126,41056,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137
CPU,BX8071513900F,Intel,Core i9-13900F,10,124,595,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F
CPU,BX8071513900,Intel,Core i9-13900,11,124,685,https://cpu.userbenchmark.com/SpeedTest/1977296/13th-Gen-IntelR-CoreTM-i9-13900
CPU,BX8071514600K,Intel,Core i5-14600K,12,124,1601,https://cpu.userbenchmark.com/Intel-Core-i5-14600K/Rating/4153
CPU,BX8071514600KF,Intel,Core i5-14600KF,13,124,2234,https://cpu.userbenchmark.com/SpeedTest/2213004/IntelR-CoreTM-i5-14600KF
CPU,100-100000908WOF,AMD,Ryzen 9 7950X3D,14,122,629,https://cpu.userbenchmark.com/SpeedTest/2052977/AMD-Ryzen-9-7950X3D-16-Core-Processor
CPU,BX8071513600K,Intel,Core i5-13600K,15,122,27559,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134
CPU,BX8071513600KF,Intel,Core i5-13600KF,16,122,24875,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF
CPU,BX8071513700,Intel,Core i7-13700,17,121,2103,https://cpu.userbenchmark.com/SpeedTest/1963418/13th-Gen-IntelR-CoreTM-i7-13700
CPU,BX8071513700F,Intel,Core i7-13700F,18,121,3991,https://cpu.userbenchmark.com/SpeedTest/1997481/13th-Gen-IntelR-CoreTM-i7-13700F
CPU,BX8071512900KS,Intel,Core i9-12900KS,19,119,4646,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS
CPU,100-100000909WOF,AMD,Ryzen 9 7900X3D,20,117,334,https://cpu.userbenchmark.com/SpeedTest/2053257/AMD-Ryzen-9-7900X3D-12-Core-Processor
CPU,,Intel,Core i9-14900HX,21,117,25,https://cpu.userbenchmark.com/SpeedTest/2269186/IntelR-CoreTM-i9-14900HX
CPU,,Intel,Core i9-13980HX,22,117,4493,https://cpu.userbenchmark.com/SpeedTest/2030055/13th-Gen-IntelR-CoreTM-i9-13980HX
CPU,BX8071512900KF,Intel,Core i9-12900KF,23,117,15291,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,100-100000910WOF,AMD,Ryzen 7 7800X3D,24,117,6646,https://cpu.userbenchmark.com/SpeedTest/2081998/AMD-Ryzen-7-7800X3D-8-Core-Processor
CPU,BX8071512900K,Intel,Core i9-12900K,25,117,66991,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,,Intel,Core i9-13950HX,26,116,1063,https://cpu.userbenchmark.com/SpeedTest/2033250/13th-Gen-IntelR-CoreTM-i9-13950HX
CPU,BX8071513600,Intel,Core i5-13600,27,116,103,https://cpu.userbenchmark.com/SpeedTest/2013466/13th-Gen-IntelR-CoreTM-i5-13600
CPU,,Intel,Core i9-13900HX,28,115,8895,https://cpu.userbenchmark.com/SpeedTest/2023039/13th-Gen-IntelR-CoreTM-i9-13900HX
CPU,100-100000514WOF,AMD,Ryzen 9 7950X,29,114,1820,https://cpu.userbenchmark.com/AMD-Ryzen-9-7950X/Rating/4133
CPU,BX8071512700K,Intel,Core i7-12700K,30,114,78749,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512700KF,Intel,Core i7-12700KF,31,114,35715,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,100-100000589WOF,AMD,Ryzen 9 7900X,32,113,1663,https://cpu.userbenchmark.com/AMD-Ryzen-9-7900X/Rating/4132
CPU,BX8071512900F,Intel,Core i9-12900F,33,113,1540,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F
CPU,BX8071513500,Intel,Core i5-13500,34,113,3785,https://cpu.userbenchmark.com/Intel-Core-i5-13500/Rating/4147
CPU,100-100000591WOF,AMD,Ryzen 7 7700X,35,112,1600,https://cpu.userbenchmark.com/AMD-Ryzen-7-7700X/Rating/4131
CPU,BX8071514500,Intel,Core i5-14500,36,112,25,https://cpu.userbenchmark.com/SpeedTest/2255984/IntelR-CoreTM-i5-14500
CPU,,Intel,Core i7-13850HX,37,111,136,https://cpu.userbenchmark.com/SpeedTest/2085967/13th-Gen-IntelR-CoreTM-i7-13850HX
CPU,BX8071512900,Intel,Core i9-12900,38,111,2410,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900
CPU,,Intel,Core i7-14700HX,39,110,10,https://cpu.userbenchmark.com/SpeedTest/2222576/IntelR-CoreTM-i7-14700HX
CPU,100-100000593WOF,AMD,Ryzen 5 7600X,40,110,1465,https://cpu.userbenchmark.com/AMD-Ryzen-5-7600X/Rating/4130
CPU,BX8071512600K,Intel,Core i5-12600K,41,109,57538,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,100-100000590BOX,AMD,Ryzen 9 7900,42,109,672,https://cpu.userbenchmark.com/SpeedTest/2015863/AMD-Ryzen-9-7900-12-Core-Processor
CPU,BX8071512600KF,Intel,Core i5-12600KF,43,109,20380,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF
CPU,100-100000592BOX,AMD,Ryzen 7 7700,44,109,964,https://cpu.userbenchmark.com/SpeedTest/2016389/AMD-Ryzen-7-7700-8-Core-Processor
CPU,BX8071512700F,Intel,Core i7-12700F,45,109,19845,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124
CPU,BX8071512700,Intel,Core i7-12700,46,108,25535,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700
CPU,,Intel,Core i7-13700HX,47,108,3030,https://cpu.userbenchmark.com/SpeedTest/1994585/13th-Gen-IntelR-CoreTM-i7-13700HX
CPU,,Intel,Core i7-12650HX,48,107,1,https://cpu.userbenchmark.com/SpeedTest/1798547/12th-Gen-IntelR-CoreTM-i7-12650HX
CPU,,Intel,Core i9-13900H,49,107,5250,https://cpu.userbenchmark.com/SpeedTest/2035047/13th-Gen-IntelR-CoreTM-i9-13900H
CPU,,Intel,Core i9-12950HX,50,107,578,https://cpu.userbenchmark.com/SpeedTest/1842274/12th-Gen-IntelR-CoreTM-i9-12950HX
CPU,100-000001015BOX,AMD,Ryzen 5 7600,51,106,1147,https://cpu.userbenchmark.com/SpeedTest/2016198/AMD-Ryzen-5-7600-6-Core-Processor
CPU,BX8071513400,Intel,Core i5-13400,52,106,1201,https://cpu.userbenchmark.com/SpeedTest/1990711/13th-Gen-IntelR-CoreTM-i5-13400
CPU,BX8071513400F,Intel,Core i5-13400F,53,106,5603,https://cpu.userbenchmark.com/Intel-Core-i5-13400F/Rating/4144
CPU,,Intel,Core i9-12900HX,54,105,875,https://cpu.userbenchmark.com/SpeedTest/1832602/12th-Gen-IntelR-CoreTM-i9-12900HX
CPU,,Intel,Core i7-13800H,55,105,290,https://cpu.userbenchmark.com/SpeedTest/2065142/13th-Gen-IntelR-CoreTM-i7-13800H
CPU,BX8071514400F,Intel,Core i5-14400F,56,105,25,https://cpu.userbenchmark.com/SpeedTest/2273207/IntelR-CoreTM-i5-14400F
CPU,,Intel,Core i7-13650HX,57,104,2398,https://cpu.userbenchmark.com/SpeedTest/2049566/13th-Gen-IntelR-CoreTM-i7-13650HX
CPU,BX8070811900KF,Intel,Core i9-11900KF,58,104,8495,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,100-100000651WOF,AMD,Ryzen 7 5800X3D,59,104,20824,https://cpu.userbenchmark.com/SpeedTest/1817839/AMD-Ryzen-7-5800X3D-8-Core-Processor
CPU,,Intel,Core i7-13700H,60,104,3675,https://cpu.userbenchmark.com/SpeedTest/2039665/13th-Gen-IntelR-CoreTM-i7-13700H
CPU,BX8070811900K,Intel,Core i9-11900K,61,103,44319,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,,Intel,Core i7-13620H,62,103,3136,https://cpu.userbenchmark.com/SpeedTest/2049481/13th-Gen-IntelR-CoreTM-i7-13620H
CPU,100-000000597,AMD,Ryzen 5 7500F,63,103,663,https://cpu.userbenchmark.com/SpeedTest/2144536/AMD-Ryzen-5-7500F-6-Core-Processor
CPU,BX8071512600,Intel,Core i5-12600,64,102,2632,https://cpu.userbenchmark.com/SpeedTest/1751978/12th-Gen-IntelR-CoreTM-i5-12600
CPU,BX8070811700KF,Intel,Core i7-11700KF,65,102,17565,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070811700K,Intel,Core i7-11700K,66,101,65651,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,100-100001176WOF,AMD,Ryzen 5 5600X3D,67,100,977,https://cpu.userbenchmark.com/SpeedTest/2142471/AMD-Ryzen-5-5600X3D-6-Core-Processor
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,68,100,33026,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,BX8070811900F,Intel,Core i9-11900F,69,100,3566,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,,Intel,Core i5-13500H,70,99.9,1437,https://cpu.userbenchmark.com/SpeedTest/2055743/13th-Gen-IntelR-CoreTM-i5-13500H
CPU,BX8070811900,Intel,Core i9-11900,71,99.9,3353,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,,Intel,Core i9-12900HK,72,99.7,2176,https://cpu.userbenchmark.com/SpeedTest/1763927/12th-Gen-IntelR-CoreTM-i9-12900HK
CPU,BX8070110900K,Intel,Core i9-10900K,73,99.6,107269,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070110900KF,Intel,Core i9-10900KF,74,99.5,21040,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070811600K,Intel,Core i5-11600K,75,99.3,43966,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8071512500,Intel,Core i5-12500,76,99.2,3715,https://cpu.userbenchmark.com/Intel-Core-i5-12500/Rating/4123
CPU,BX8070811600KF,Intel,Core i5-11600KF,77,99.1,9286,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,78,99,60132,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,,Intel,Core i9-12900H,79,99,15403,https://cpu.userbenchmark.com/SpeedTest/1757877/12th-Gen-IntelR-CoreTM-i9-12900H
CPU,BX8070110850K,Intel,Core i9-10850K,80,98.9,84873,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX80684I99900KS,Intel,Core i9-9900KS,81,98.8,12840,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070811700F,Intel,Core i7-11700F,82,98.3,21161,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,BX8071512400,Intel,Core i5-12400,83,98.2,17352,https://cpu.userbenchmark.com/Intel-Core-i5-12400/Rating/4122
CPU,BX8070811700,Intel,Core i7-11700,84,98.1,20430,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,85,98.1,128080,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8071512400F,Intel,Core i5-12400F,86,98,48886,https://cpu.userbenchmark.com/Intel-Core-i5-12400F/Rating/4121
CPU,,Intel,Core i5-13420H,87,98,889,https://cpu.userbenchmark.com/SpeedTest/2088006/13th-Gen-IntelR-CoreTM-i5-13420H
CPU,,Intel,Core i7-12800H,88,98,2192,https://cpu.userbenchmark.com/SpeedTest/1760724/12th-Gen-IntelR-CoreTM-i7-12800H
CPU,BX80684I99900K,Intel,Core i9-9900K,89,97.9,354223,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,BX80684I99900KF,Intel,Core i9-9900KF,90,97.8,50265,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,100-100001236BOX,AMD,Ryzen 7 8700G,91,97.8,11,https://cpu.userbenchmark.com/SpeedTest/2282824/AMD-Ryzen-7-8700G-w-Radeon-780M-Graphics
CPU,,AMD,Ryzen 9 5900,92,97.2,1297,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,BX80684I79700KF,Intel,Core i7-9700KF,93,97.1,32736,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,,Intel,Core i7-12700H,94,97,52857,https://cpu.userbenchmark.com/SpeedTest/1750314/12th-Gen-IntelR-CoreTM-i7-12700H
CPU,BX8070811600,Intel,Core i5-11600,95,97,2296,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,100-100001503WOF,AMD,Ryzen 7 5700X3D,96,96.9,25,https://cpu.userbenchmark.com/SpeedTest/2280831/AMD-Ryzen-7-5700X3D-8-Core-Processor
CPU,BX80684I79700K,Intel,Core i7-9700K,97,96.9,550833,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX8071514100F,Intel,Core i3-14100F,98,96.7,22,https://cpu.userbenchmark.com/SpeedTest/2275778/IntelR-CoreTM-i3-14100F
CPU,BX8070110700K,Intel,Core i7-10700K,99,96.5,198859,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,,Intel,Core i7-12650H,100,96.4,9205,https://cpu.userbenchmark.com/SpeedTest/1807229/12th-Gen-IntelR-CoreTM-i7-12650H
CPU,BX8071513100F,Intel,Core i3-13100F,101,96.4,852,https://cpu.userbenchmark.com/Intel-Core-i3-13100F/Rating/4143
CPU,BX8070110700KF,Intel,Core i7-10700KF,102,96.3,37394,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,BX8071513100,Intel,Core i3-13100,103,96.2,174,https://cpu.userbenchmark.com/SpeedTest/2011672/13th-Gen-IntelR-CoreTM-i3-13100
CPU,BX8070811500,Intel,Core i5-11500,104,96.1,2701,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,100-100000926WOF,AMD,Ryzen 7 5700X,105,96,15311,https://cpu.userbenchmark.com/SpeedTest/1823386/AMD-Ryzen-7-5700X-8-Core-Processor
CPU,BX8071512300,Intel,Core i3-12300,106,95.9,25,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,107,95.9,383420,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,,AMD,Ryzen 7 5800,108,95.9,1982,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor
CPU,BX8070110900F,Intel,Core i9-10900F,109,95.4,8499,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,,Intel,Core i5-12600H,110,94.9,51,https://cpu.userbenchmark.com/SpeedTest/1847567/12th-Gen-IntelR-CoreTM-i5-12600H
CPU,100-100001237BOX,AMD,Ryzen 5 8600G,111,94.7,7,https://cpu.userbenchmark.com/SpeedTest/2284167/AMD-Ryzen-5-8600G-w-Radeon-760M-Graphics
CPU,,Intel,Core i7-1370P,112,94.4,258,https://cpu.userbenchmark.com/SpeedTest/2086746/13th-Gen-IntelR-CoreTM-i7-1370P
CPU,BX8070811400,Intel,Core i5-11400,113,94.2,24459,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX8070811400F,Intel,Core i5-11400F,114,94.2,46609,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,BX8071512100F,Intel,Core i3-12100F,115,94.1,11860,https://cpu.userbenchmark.com/Intel-Core-i3-12100F/Rating/4125
CPU,,Intel,Core i9-10900,116,94,11130,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX8071512100,Intel,Core i3-12100,117,94,1513,https://cpu.userbenchmark.com/Intel-Core-i3-12100/Rating/4126
CPU,,Intel,Core i5-12500H,118,94,11588,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H
CPU,BX80684I59600K,Intel,Core i5-9600K,119,93.2,321194,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX8070110700F,Intel,Core i7-10700F,120,93.2,44448,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX80684I59600KF,Intel,Core i5-9600KF,121,93.2,65122,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,100-100000927BOX,AMD,Ryzen 5 5600,122,93.1,8168,https://cpu.userbenchmark.com/SpeedTest/1822932/AMD-Ryzen-5-5600-6-Core-Processor
CPU,,Intel,Core i9-11980HK,123,93.1,1108,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz
CPU,BX8070110700,Intel,Core i7-10700,124,92.6,71010,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX80684I59600,Intel,Core i5-9600,125,92.3,931,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,BX8070110600K,Intel,Core i5-10600K,126,92.2,70951,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,,Intel,Core i7-1360P,127,92.1,1017,https://cpu.userbenchmark.com/SpeedTest/2032791/13th-Gen-IntelR-CoreTM-i7-1360P
CPU,BX80684I79700,Intel,Core i7-9700,128,92,79875,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,129,92,54980,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX8070110600KF,Intel,Core i5-10600KF,130,91.9,24257,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,,Intel,Core i9-11950H,131,91.9,660,https://cpu.userbenchmark.com/SpeedTest/1554081/11th-Gen-IntelR-CoreTM-i9-11950H---260GHz
CPU,BX80684I99900,Intel,Core i9-9900,132,91.4,11853,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,,AMD,Ryzen 7 4700G,133,90.9,921,https://cpu.userbenchmark.com/SpeedTest/1135003/AMD-Ryzen-7-4700G-8-Core-Processor
CPU,BX80684I78086K,Intel,Core i7-8086K,134,90.8,38086,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,135,90.7,264837,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX8070110600,Intel,Core i5-10600,136,90.2,7605,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,,Intel,Core i3-10320,137,89.6,620,https://cpu.userbenchmark.com/SpeedTest/1180543/IntelR-CoreTM-i3-10320-CPU---380GHz
CPU,100-100000051WOF,AMD,Ryzen 9 3950X,138,89.3,50170,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,BX80684I39350KF,Intel,Core i3-9350KF,139,89.3,1442,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,,Intel,Core Ultra 7 155H,140,89.2,36,https://cpu.userbenchmark.com/SpeedTest/2193961/IntelR-CoreTM-Ultra-7-155H
CPU,,Intel,Core i9-11900H,141,89,6494,https://cpu.userbenchmark.com/SpeedTest/1539880/11th-Gen-IntelR-CoreTM-i9-11900H---250GHz
CPU,,Intel,Core i5-12450H,142,88.9,9550,https://cpu.userbenchmark.com/SpeedTest/1814904/12th-Gen-IntelR-CoreTM-i5-12450H
CPU,,AMD,Ryzen 9 7945HX,143,88.9,261,https://cpu.userbenchmark.com/SpeedTest/2064608/AMD-Ryzen-9-7945HX-with-Radeon-Graphics
CPU,,Intel,Core i7-11850H,144,88.9,3563,https://cpu.userbenchmark.com/SpeedTest/1557007/11th-Gen-IntelR-CoreTM-i7-11850H---250GHz
CPU,100-100000277WOF,AMD,Ryzen 9 3900XT,145,88.7,16922,https://cpu.userbenchmark.com/SpeedTest/1202614/AMD-Ryzen-9-3900XT-12-Core-Processor
CPU,BX80684I78700K,Intel,Core i7-8700K,146,88.4,746287,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,BX80684I58600,Intel,Core i5-8600,147,88.2,18241,https://cpu.userbenchmark.com/SpeedTest/477251/IntelR-CoreTM-i5-8600-CPU---310GHz
CPU,100-100000279WOF,AMD,Ryzen 7 3800XT,148,88.1,13898,https://cpu.userbenchmark.com/SpeedTest/1218139/AMD-Ryzen-7-3800XT-8-Core-Processor
CPU,,AMD,Ryzen 9 7845HX,149,88.1,152,https://cpu.userbenchmark.com/SpeedTest/2064997/AMD-Ryzen-9-7845HX-with-Radeon-Graphics
CPU,,Intel,Core i5-1340P,150,88,447,https://cpu.userbenchmark.com/SpeedTest/2033578/13th-Gen-IntelR-CoreTM-i5-1340P
CPU,,Intel,Core i7-11800H,151,88,56029,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,152,87.9,197342,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,100-100000263BOX,AMD,Ryzen 7 5700G,153,87.7,17091,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD-Ryzen-7-5700G-with-Radeon-Graphics
CPU,BX8070110300,Intel,Core i3-10300,154,87.4,391,https://cpu.userbenchmark.com/Intel-Core-i3-10300/Rating/4074
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,155,87.2,6609,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,BX8069510920X,Intel,Core i9-10920X,156,87.2,3007,https://cpu.userbenchmark.com/SpeedTest/931866/IntelR-CoreTM-i9-10920X-CPU---350GHz
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,157,87,141122,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,BX80677I77740X,Intel,Core i7-7740X,158,87,5094,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80684I78700,Intel,Core i7-8700,159,87,349567,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,BX80684I59500,Intel,Core i5-9500,160,87,9059,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,,Intel,Core i7-1280P,161,86.9,783,https://cpu.userbenchmark.com/SpeedTest/1817404/12th-Gen-IntelR-CoreTM-i7-1280P
CPU,BX80671I76950X,Intel,Core i7-6950X,162,86.8,6135,https://cpu.userbenchmark.com/Intel-Core-i7-6950X/Rating/3604
CPU,BX80684I59400,Intel,Core i5-9400,163,86.5,22187,https://cpu.userbenchmark.com/SpeedTest/735306/IntelR-CoreTM-i5-9400-CPU---290GHz
CPU,BX80673I99920X,Intel,Core i9-9920X,164,86.4,1009,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,,AMD,Ryzen 7 7840HS,165,86.3,2024,https://cpu.userbenchmark.com/SpeedTest/2112343/AMD-Ryzen-7-7840HS-w-Radeon-780M-Graphics
CPU,100-100000457BOX,AMD,Ryzen 5 5500,166,86.2,4817,https://cpu.userbenchmark.com/SpeedTest/1820844/AMD-Ryzen-5-5500
CPU,100-100000252BOX,AMD,Ryzen 5 5600G,167,86.1,14368,https://cpu.userbenchmark.com/SpeedTest/1553183/AMD-Ryzen-5-5600G-with-Radeon-Graphics
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,168,86.1,5130,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,100-100000071BOX,AMD,Ryzen 7 3700X,169,85.9,635419,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043
CPU,BX80671I76900K,Intel,Core i7-6900K,170,85.9,6755,https://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605
CPU,100-000000163,AMD,Ryzen TR 3990X,171,85.8,1222,https://cpu.userbenchmark.com/SpeedTest/1035665/AMD-Ryzen-Threadripper-3990X-64-Core-Processor
CPU,BX8069510940X,Intel,Core i9-10940X,172,85.7,1827,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,,Intel,Core i9-10900T,173,85.5,163,https://cpu.userbenchmark.com/SpeedTest/1238258/IntelR-CoreTM-i9-10900T-CPU---190GHz
CPU,BX80673I99940X,Intel,Core i9-9940X,174,85.4,1846,https://cpu.userbenchmark.com/SpeedTest/641326/IntelR-CoreTM-i9-9940X-CPU---330GHz
CPU,,Intel,Core i5-10600T,175,85.3,113,https://cpu.userbenchmark.com/SpeedTest/1250930/IntelR-CoreTM-i5-10600T-CPU---240GHz
CPU,BX8070110400F,Intel,Core i5-10400F,176,85.2,153026,https://cpu.userbenchmark.com/Intel-Core-i5-10400F/Rating/4079
